Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2026.06.12","물가 안정을 위한 한국은행의 기준금리 조정 및 '공개 시장 운영' 수단(통화안정증권 발행)을 묻고 있으므로, '한국은행의 통화 정책'을 다루는 테마에 해당합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2025.11.09","한국은행의 주요 업무인 '지급 결제 제도 운영'과 통화 정책 수단인 '일중 당좌 대출'에 대해 묻고 있으므로, 해당 테마에 속합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2025.09.01","시중 은행이 한국은행에 예금의 일정 비율을 의무적으로 예치하는 '지급 준비 제도'에 대해 묻고 있으므로, '한국은행의 통화 정책 수단'을 다루는 테마에 해당합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2025.09.04","시중 화폐량 증가(인플레이션) 상황에서 한국은행이 시행할 수 있는 '공개 시장 운영' 정책(국채 매각, 통화안정증권 발행)을 묻고 있으므로, '한국은행의 통화 정책'을 다루는 테마에 해당합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2025.06.15","물가 안정을 위해 긴축적인 통화 정책(RP 매각, 통화안정계정 예치 확대)을 시행하는 사례를 통해 한국은행의 '통화 정책'을 묻고 있으므로, 해당 테마에 속합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2024.11.14","한국은행이 시중 유동성 조절을 위해 발행하는 '통화안정증권'은 '공개 시장 운영' 수단 중 하나이므로, '한국은행의 통화 정책'을 다루는 테마에 해당합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2024.09.18","한국과 미국의 '기준금리' 변동에 따른 경제 현상(대출금리, 물가, 투자, 자금 이동)을 묻는 문제이므로, '한국은행의 통화 정책'을 다루는 테마에 해당합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2023.11.14","'간접 금융 시장'과 '직접 금융 시장'의 개념을 구분하고, 한국은행이 시행하는 '환매조건부증권(RP) 매매'가 간접 금융 시장에서 이루어지는 통화 정책임을 묻고 있으므로, '금융 시장의 종류와 한국은행' 테마에 해당합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2023.06.19","시중 통화량 증가(물가 상승) 상황에서 한국은행이 취할 수 있는 긴축 통화 정책(국채 매각, 지급준비율 인상)을 묻는 문제이므로, '한국은행의 통화 정책'을 다루는 테마에 해당합니다."
Chapter 03: 금융의 기능과 종류,"Theme 1: 금융 시장의 종류와 한국은행","2022.06.03","시중 통화량 조절을 위해 한국은행이 활용하는 '지급 준비 제도'에 대해 묻고 있으므로, '한국은행의 통화 정책' 테마에 해당합니다."
