Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2026.06.10","기업 집중 형태인 '카르텔'과 '트러스트'의 특징을 비교하고, 경영 전략 변경에 따른 활동을 묻고 있으므로, '기업의 결합'을 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2025.06.01","이윤 극대화를 목적으로 하는 경제 주체(기업)의 역할 중 '일자리 창출'에 대해 묻고 있으므로, '기업의 역할'을 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2025.06.02","기업 집중 형태 중 법률적·경제적 독립성을 모두 상실하는 '트러스트'의 특징을 묻고 있으므로, '기업의 결합'을 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2024.11.05","일자리 창출(경제적 책임), 계약 준수(법률적 책임), 장학사업(자선적 책임) 등 기업의 '사회적 책임(CSR)'을 묻는 문제로, 이는 기업의 역할을 다루는 테마에 포함됩니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2023.11.19","기업이 공익 단체에 기부하는 활동은 '자선적 책임'에 해당하며, 이는 기업의 '사회적 책임(CSR)'의 한 영역이므로 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2023.06.17","기업이 소외 계층을 위해 기부하는 활동은 '자선적 책임'에 해당하며, 이는 '기업의 사회적 책임(CSR)'의 한 영역이므로 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2021.11.14","기업의 사회적 책임 중 이윤 확보를 통해 주주의 이익을 실현하는 '경제적 책임'에 대한 문제입니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2021.09.12","기업이 대학에 발전 기금을 기부하는 것은 '자선적 책임'에 해당하며, 이는 기업의 사회적 책임을 다루는 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2021.06.02","기업이 부품 국산화를 통해 원가를 절감하고 이윤을 확대하는 것은 '경제적 책임'에 해당하므로, 기업의 사회적 책임을 다루는 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2026.06.14","'기능식 조직'의 단점을 보완하고, 구성원이 두 부서에 동시에 소속되는 '매트릭스 조직'으로의 개편을 다루고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2025.06.05","경영 관리 순환 과정(통제, 지휘), 조직 개편(매트릭스 조직), 경영 혁신(인력 규모 축소) 등 전반적인 '경영 관리' 활동에 대해 묻고 있으므로, 해당 테마로 분류됩니다."
