Chapter,Theme,문제 번호,분류 이유
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2026.06.02","항공기, 화물선, 기차 등 '운송 수단'의 특징(속도, 적재용량, 기후 영향)을 비교 분석하는 문제이므로, '운송'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2025.11.01","기업 내 생산, 물류, 회계, 영업 등을 통합적으로 연계·관리하는 '전사적 자원 관리(ERP)' 시스템에 대해 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2025.11.03","고객의 집까지 상품을 배송해주는 문전 운송 등 '육상 운송(자동차 운송)'의 특징을 묻고 있으므로, '운송'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2025.09.14","물류 정보화 기술 중 전자 태그와 무선 주파수를 이용하여 상품 정보를 식별하는 'RFID' 기술의 도입에 대해 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2025.09.18","'해상 운송'의 종류 중 선박만 빌리고 운항에 필요한 모든 비용은 용선자가 부담하는 '나용선' 계약에 대해 묻고 있으므로, '해상 운송'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2024.11.09","화물의 목적지까지 직접 운송이 가능한 '문전 운송' 서비스에 대해 묻고 있으며, 이는 '자동차 운송'의 주요 특징이므로, '운송'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2024.09.06","원재료 구매부터 생산, 유통, 판매까지 전체 공급 과정을 통합 관리하는 '공급 사슬 관리(SCM)' 시스템에 대해 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2024.06.08","'운송 수단'인 트럭(가)과 화물선(나)의 특징(일관 운송, 대량 운송, 운임, 하역 비용)을 비교 분석하는 문제이므로, '운송'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2024.06.09","표준화된 전자 문서를 네트워크로 교환하여 무역 업무를 처리하는 '전자 문서 교환(EDI)' 시스템에 대해 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2023.09.18","전자 태그와 전파를 이용해 비접촉식으로 정보를 식별하는 '무선주파수식별(RFID)' 기술에 대해 묻고 있으므로, '물류 정보 기술'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2023.06.16","복수의 화물을 하나의 단위로 만들어 하역의 기계화를 가능하게 하는 '유닛 로드 시스템(ULS)'에 대해 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2022.11.14","GPS 기술을 통해 차량 위치를 실시간으로 추적·관리하는 '첨단 화물 운송(CVO)' 시스템에 대해 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2022.09.03","무선 주파수로 전자 태그가 내장된 상품을 식별하는 'RFID' 기술을 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2022.06.17","화물을 일정한 표준 단위로 만들어 기계적으로 운송하는 '유닛 로드 시스템(ULS)'에 대해 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2021.11.06","차량의 실시간 위치 추적 등을 통해 물류 업무 효율성을 높이는 '첨단 화물 운송 시스템(CVO)'을 묻는 문제이므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2021.11.12","철도 운송과 자동차 운송의 특징을 비교하며, 운송 수단 간 환적에 대해 묻고 있으므로 '운송'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 1: 물류 관리","2021.09.06","전자 태그를 비접촉으로 읽어 상품 정보를 파악하는 '무선 주파수 식별(RFID)' 기술을 묻고 있으므로, '물류 정보 시스템'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 2: 무역의 이해","2025.11.19","리카도의 '비교 생산비설(비교 우위)'에 따라 양국의 특화 상품과 기회비용을 계산하는 문제이므로, '무역 이론'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 2: 무역의 이해","2025.11.20","환거래 없이 물품을 1:1로 교환하는 '물물교환' 무역 형태에 대해 묻고 있으므로, '무역의 분류'를 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 2: 무역의 이해","2025.09.11","제3자가 개입하는 간접 무역의 종류인 '중개 무역', '통과 무역', '중계 무역'의 사례를 구분하는 문제이므로, '무역의 분류'를 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 2: 무역의 이해","2025.06.07","상품을 수입하여 가공 없이 그대로 제3국에 재수출하는 '중계 무역'의 사례를 묻고 있으므로, '무역의 분류'를 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 2: 무역의 이해","2024.11.16","'비교생산비설'에 따라 양국의 특화 상품과 기회비용을 계산하고 무역 이익을 분석하는 문제이므로, '무역 이론'을 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 2: 무역의 이해","2024.09.07","무역의 종류 중 수입하여 원형 그대로 재수출하는 '중계 무역'과 거래를 알선하고 수수료를 받는 '중개 무역'을 구분하는 문제이므로, 해당 테마에 속합니다."
Chapter 04: 무역 활동,"Theme 2: 무역의 이해","2024.06.19","환거래 없이 물품을 교환하는 '물물교환'과 수출에 대응하여 수입하는 '제품 환매' 등 '연계 무역'의 공통점을 묻는 문제이므로, '수출입 균형 및 연계에 따른 분류'를 다루는 테마에 해당합니다."
Chapter 04: 무역 활동,"Theme 2: 무역의 이해","2023.11.09","기술 수출에 대응하여 생산품을 수입하는 '제품 환매'와 수입 후 가공 없이 재수출하는 '중계 무역'의 사례를 묻는 문제이므로, '무역의 종류'를 다루는 테마에 해당합니다."
